symbol,name,industry,index
HDFCBANK,HDFC Bank Ltd.,Financial Services,NIFTY200
ICICIBANK,ICICI Bank Ltd.,Financial Services,NIFTY200
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,NIFTY200
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication,NIFTY200
LT,Larsen & Toubro Ltd.,Construction,NIFTY200
SBIN,State Bank of India,Financial Services,NIFTY200
INFY,Infosys Ltd.,Information Technology,NIFTY200
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY200
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services,NIFTY200
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components,NIFTY200
360ONE,360 ONE WAM Ltd.,Financial Services,NIFTY200
ABB,ABB India Ltd.,Capital Goods,NIFTY200
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,NIFTY200
AUBANK,AU Small Finance Bank Ltd.,Financial Services,NIFTY200
ADANIENSOL,Adani Energy Solutions Ltd.,Power,NIFTY200
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY200
ADANIGREEN,Adani Green Energy Ltd.,Power,NIFTY200
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,NIFTY200
ADANIPOWER,Adani Power Ltd.,Power,NIFTY200
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,NIFTY200
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,NIFTY200
ALKEM,Alkem Laboratories Ltd.,Healthcare,NIFTY200
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,NIFTY200
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,NIFTY200
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods,NIFTY200
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,NIFTY200
ASTRAL,Astral Ltd.,Capital Goods,NIFTY200
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,NIFTY200
DMART,Avenue Supermarts Ltd.,Consumer Services,NIFTY200
BSE,BSE Ltd.,Financial Services,NIFTY200
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,NIFTY200
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,NIFTY200
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,NIFTY200
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services,NIFTY200
BANKBARODA,Bank of Baroda,Financial Services,NIFTY200
BANKINDIA,Bank of India,Financial Services,NIFTY200
BDL,Bharat Dynamics Ltd.,Capital Goods,NIFTY200
BEL,Bharat Electronics Ltd.,Capital Goods,NIFTY200
BHARATFORG,Bharat Forge Ltd.,Automobile and Auto Components,NIFTY200
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,NIFTY200
