symbol,name,sector,index
RELIANCE,Reliance Industries Ltd,Energy,NIFTY50
TCS,Tata Consultancy Services Ltd,IT,NIFTY50
HDFCBANK,HDFC Bank Ltd,Banking,NIFTY50
INFY,Infosys Ltd,IT,NIFTY50
ICICIBANK,ICICI Bank Ltd,Banking,NIFTY50
SBIN,State Bank of India,Banking,NIFTY50
BHARTIARTL,Bharti Airtel Ltd,Telecom,NIFTY50
ITC,ITC Ltd,FMCG,NIFTY50
LTIM,LTIMindtree Ltd,IT,NIFTY50
KOTAKBANK,Kotak Mahindra Bank Ltd,Banking,NIFTY50
LT,Larsen & Toubro Ltd,Construction,NIFTY50
AXISBANK,Axis Bank Ltd,Banking,NIFTY50
HINDUNILVR,Hindustan Unilever Ltd,FMCG,NIFTY50
BAJFINANCE,Bajaj Finance Ltd,Finance,NIFTY50
MARUTI,Maruti Suzuki India Ltd,Automobile,NIFTY50
TATASTEEL,Tata Steel Ltd,Metals,NIFTY50
SUNPHARMA,Sun Pharmaceutical Industries Ltd,Pharma,NIFTY50
TITAN,Titan Company Ltd,Consumer,NIFTY50
ASIANPAINT,Asian Paints Ltd,Consumer,NIFTY50
ULTRACEMCO,UltraTech Cement Ltd,Materials,NIFTY50
